citation_id,answer_id,document_id,category,confidence_score,validity_prob,is_valid,data_type
CIT-00086,ANS-0059,DOC-0037,SOP & Sirkular Internal,0.89,0.8665,True,calculated
CIT-00087,ANS-0059,DOC-0026,Referensi Regulasi Eksternal,0.89,0.6865,True,calculated
CIT-00088,ANS-0060,DOC-0022,Referensi Regulasi Eksternal,0.81,0.6585000000000001,False,calculated
CIT-00089,ANS-0060,DOC-0029,Kontrak & Perjanjian Vendor,0.81,0.7585,True,calculated
CIT-00090,ANS-0061,DOC-0021,Kontrak & Perjanjian Vendor,0.895,0.78825,True,calculated
CIT-00091,ANS-0061,DOC-0027,Kontrak & Perjanjian Vendor,0.895,0.78825,True,calculated
CIT-00092,ANS-0062,DOC-0016,Kontrak & Perjanjian Vendor,0.969,0.8141499999999999,True,calculated
CIT-00093,ANS-0062,DOC-0012,SOP & Sirkular Internal,0.969,0.89415,True,calculated
CIT-00094,ANS-0063,DOC-0007,Kontrak & Perjanjian Vendor,0.891,0.78685,True,calculated
CIT-00095,ANS-0063,DOC-0036,SOP & Sirkular Internal,0.891,0.8668500000000001,False,calculated
CIT-00096,ANS-0064,DOC-0033,Kontrak & Perjanjian Vendor,0.868,0.7787999999999999,True,calculated
CIT-00097,ANS-0065,DOC-0010,Referensi Regulasi Eksternal,0.879,0.68265,True,calculated
CIT-00098,ANS-0065,DOC-0005,SOP & Sirkular Internal,0.879,0.86265,True,calculated
CIT-00099,ANS-0066,DOC-0007,Kontrak & Perjanjian Vendor,0.965,0.81275,True,calculated
CIT-00100,ANS-0067,DOC-0032,SOP & Sirkular Internal,0.912,0.8742000000000001,True,calculated
CIT-00101,ANS-0068,DOC-0001,SOP & Sirkular Internal,0.99,0.9015000000000001,True,calculated
CIT-00102,ANS-0068,DOC-0021,Kontrak & Perjanjian Vendor,0.99,0.8215,True,calculated
CIT-00103,ANS-0069,DOC-0005,SOP & Sirkular Internal,0.947,0.8864500000000001,True,calculated
CIT-00104,ANS-0070,DOC-0001,SOP & Sirkular Internal,0.878,0.8623000000000001,True,calculated
CIT-00105,ANS-0071,DOC-0017,SOP & Sirkular Internal,0.96,0.891,True,calculated
CIT-00106,ANS-0072,DOC-0007,Kontrak & Perjanjian Vendor,0.959,0.81065,True,calculated
CIT-00107,ANS-0073,DOC-0031,SOP & Sirkular Internal,0.426,0.7041000000000001,True,calculated
CIT-00108,ANS-0073,DOC-0037,SOP & Sirkular Internal,0.426,0.7041000000000001,True,calculated
CIT-00109,ANS-0074,DOC-0023,SOP & Sirkular Internal,0.275,0.6512500000000001,True,calculated
CIT-00110,ANS-0074,DOC-0027,Kontrak & Perjanjian Vendor,0.275,0.57125,True,calculated
CIT-00111,ANS-0075,DOC-0025,Kontrak & Perjanjian Vendor,0.833,0.76655,True,calculated
CIT-00112,ANS-0076,DOC-0036,SOP & Sirkular Internal,0.863,0.8570500000000001,True,calculated
CIT-00113,ANS-0077,DOC-0019,SOP & Sirkular Internal,0.861,0.8563500000000001,False,calculated
CIT-00114,ANS-0077,DOC-0031,SOP & Sirkular Internal,0.861,0.8563500000000001,True,calculated
CIT-00115,ANS-0078,DOC-0029,Kontrak & Perjanjian Vendor,0.894,0.7879,True,calculated
CIT-00116,ANS-0078,DOC-0036,SOP & Sirkular Internal,0.894,0.8679000000000001,True,calculated
CIT-00117,ANS-0079,DOC-0032,SOP & Sirkular Internal,0.894,0.8679000000000001,True,calculated
CIT-00118,ANS-0079,DOC-0025,Kontrak & Perjanjian Vendor,0.894,0.7879,True,calculated
CIT-00119,ANS-0080,DOC-0040,Referensi Regulasi Eksternal,0.895,0.68825,True,calculated
CIT-00120,ANS-0081,DOC-0002,Referensi Regulasi Eksternal,0.975,0.71625,False,calculated
CIT-00121,ANS-0081,DOC-0023,SOP & Sirkular Internal,0.975,0.89625,True,calculated
CIT-00122,ANS-0082,DOC-0025,Kontrak & Perjanjian Vendor,0.861,0.77635,True,calculated
CIT-00123,ANS-0082,DOC-0012,SOP & Sirkular Internal,0.861,0.8563500000000001,True,calculated
CIT-00124,ANS-0083,DOC-0006,SOP & Sirkular Internal,0.883,0.8640500000000001,True,calculated
CIT-00125,ANS-0083,DOC-0004,SOP & Sirkular Internal,0.883,0.8640500000000001,False,calculated
CIT-00126,ANS-0084,DOC-0027,Kontrak & Perjanjian Vendor,0.938,0.8032999999999999,True,calculated
CIT-00127,ANS-0084,DOC-0024,SOP & Sirkular Internal,0.938,0.8833,True,calculated
CIT-00128,ANS-0085,DOC-0001,SOP & Sirkular Internal,0.885,0.86475,False,calculated
CIT-00129,ANS-0085,DOC-0034,SOP & Sirkular Internal,0.885,0.86475,True,calculated
CIT-00130,ANS-0086,DOC-0002,Referensi Regulasi Eksternal,0.946,0.7061,True,calculated
CIT-00131,ANS-0086,DOC-0025,Kontrak & Perjanjian Vendor,0.946,0.8060999999999999,True,calculated
CIT-00132,ANS-0087,DOC-0033,Kontrak & Perjanjian Vendor,0.318,0.5863,True,calculated
CIT-00133,ANS-0087,DOC-0013,Kontrak & Perjanjian Vendor,0.318,0.5863,False,calculated
CIT-00134,ANS-0088,DOC-0040,Referensi Regulasi Eksternal,0.962,0.7117,False,calculated
CIT-00135,ANS-0089,DOC-0028,SOP & Sirkular Internal,0.898,0.8693000000000001,True,calculated
CIT-00136,ANS-0090,DOC-0008,Kontrak & Perjanjian Vendor,0.543,0.66505,True,calculated
CIT-00137,ANS-0091,DOC-0012,SOP & Sirkular Internal,0.971,0.89485,True,calculated
CIT-00138,ANS-0092,DOC-0020,SOP & Sirkular Internal,0.978,0.8973,True,calculated
CIT-00139,ANS-0093,DOC-0009,SOP & Sirkular Internal,0.863,0.8570500000000001,True,calculated
CIT-00140,ANS-0093,DOC-0027,Kontrak & Perjanjian Vendor,0.863,0.77705,True,calculated
CIT-00141,ANS-0094,DOC-0005,SOP & Sirkular Internal,0.979,0.8976500000000001,True,calculated
CIT-00142,ANS-0095,DOC-0031,SOP & Sirkular Internal,0.952,0.8882000000000001,True,calculated
CIT-00143,ANS-0096,DOC-0010,Referensi Regulasi Eksternal,0.956,0.7096,True,calculated
CIT-00144,ANS-0096,DOC-0006,SOP & Sirkular Internal,0.956,0.8896000000000001,False,calculated
CIT-00145,ANS-0097,DOC-0025,Kontrak & Perjanjian Vendor,0.828,0.7647999999999999,False,calculated
CIT-00146,ANS-0098,DOC-0025,Kontrak & Perjanjian Vendor,0.908,0.7928,True,calculated
CIT-00147,ANS-0098,DOC-0037,SOP & Sirkular Internal,0.908,0.8728,True,calculated
CIT-00148,ANS-0099,DOC-0013,Kontrak & Perjanjian Vendor,0.468,0.6388,False,calculated
CIT-00149,ANS-0100,DOC-0005,SOP & Sirkular Internal,0.946,0.8861,True,calculated
CIT-00150,ANS-0100,DOC-0012,SOP & Sirkular Internal,0.946,0.8861,True,calculated
CIT-00151,ANS-0101,DOC-0039,SOP & Sirkular Internal,0.962,0.8917,True,calculated
CIT-00152,ANS-0101,DOC-0015,Kontrak & Perjanjian Vendor,0.962,0.8117,True,calculated
CIT-00153,ANS-0102,DOC-0016,Kontrak & Perjanjian Vendor,0.912,0.7942,True,calculated
CIT-00154,ANS-0102,DOC-0024,SOP & Sirkular Internal,0.912,0.8742000000000001,True,calculated
CIT-00155,ANS-0103,DOC-0009,SOP & Sirkular Internal,0.379,0.6876500000000001,True,calculated
CIT-00156,ANS-0104,DOC-0025,Kontrak & Perjanjian Vendor,0.981,0.81835,True,calculated
CIT-00157,ANS-0104,DOC-0031,SOP & Sirkular Internal,0.981,0.8983500000000001,True,calculated
CIT-00158,ANS-0105,DOC-0002,Referensi Regulasi Eksternal,0.915,0.69525,False,calculated
CIT-00159,ANS-0105,DOC-0018,Kontrak & Perjanjian Vendor,0.915,0.79525,True,calculated
CIT-00160,ANS-0106,DOC-0029,Kontrak & Perjanjian Vendor,0.911,0.79385,True,calculated
CIT-00161,ANS-0107,DOC-0017,SOP & Sirkular Internal,0.737,0.8129500000000001,True,calculated
CIT-00162,ANS-0108,DOC-0028,SOP & Sirkular Internal,0.93,0.8805000000000001,False,calculated
CIT-00163,ANS-0109,DOC-0040,Referensi Regulasi Eksternal,0.88,0.683,False,calculated
CIT-00164,ANS-0109,DOC-0038,SOP & Sirkular Internal,0.88,0.8630000000000001,True,calculated
CIT-00165,ANS-0110,DOC-0013,Kontrak & Perjanjian Vendor,0.952,0.8082,True,calculated
CIT-00166,ANS-0111,DOC-0025,Kontrak & Perjanjian Vendor,0.824,0.7634,True,calculated
CIT-00167,ANS-0111,DOC-0037,SOP & Sirkular Internal,0.824,0.8434,True,calculated
CIT-00168,ANS-0112,DOC-0031,SOP & Sirkular Internal,0.962,0.8917,True,calculated
CIT-00169,ANS-0113,DOC-0008,Kontrak & Perjanjian Vendor,0.967,0.81345,False,calculated
CIT-00170,ANS-0113,DOC-0016,Kontrak & Perjanjian Vendor,0.967,0.81345,True,calculated
CIT-00171,ANS-0114,DOC-0007,Kontrak & Perjanjian Vendor,0.366,0.6031,True,calculated
CIT-00172,ANS-0114,DOC-0033,Kontrak & Perjanjian Vendor,0.366,0.6031,True,calculated
CIT-00173,ANS-0115,DOC-0029,Kontrak & Perjanjian Vendor,0.875,0.78125,False,calculated
CIT-00174,ANS-0116,DOC-0003,SOP & Sirkular Internal,0.889,0.8661500000000001,True,calculated
CIT-00175,ANS-0118,DOC-0020,SOP & Sirkular Internal,0.734,0.8119000000000001,True,calculated
CIT-00176,ANS-0118,DOC-0031,SOP & Sirkular Internal,0.734,0.8119000000000001,True,calculated
CIT-00177,ANS-0119,DOC-0009,SOP & Sirkular Internal,0.985,0.89975,True,calculated
CIT-00178,ANS-0120,DOC-0028,SOP & Sirkular Internal,0.784,0.8294,True,calculated
CIT-00179,ANS-0121,DOC-0037,SOP & Sirkular Internal,0.974,0.8959,True,calculated
CIT-00180,ANS-0123,DOC-0033,Kontrak & Perjanjian Vendor,0.938,0.8032999999999999,True,calculated
CIT-00181,ANS-0124,DOC-0027,Kontrak & Perjanjian Vendor,0.877,0.78195,True,calculated
CIT-00182,ANS-0125,DOC-0001,SOP & Sirkular Internal,0.979,0.8976500000000001,True,calculated
CIT-00183,ANS-0125,DOC-0032,SOP & Sirkular Internal,0.979,0.8976500000000001,True,calculated
CIT-00184,ANS-0126,DOC-0009,SOP & Sirkular Internal,0.866,0.8581000000000001,True,calculated
CIT-00185,ANS-0127,DOC-0007,Kontrak & Perjanjian Vendor,0.891,0.78685,True,calculated
CIT-00186,ANS-0128,DOC-0002,Referensi Regulasi Eksternal,0.41,0.5185,True,calculated
CIT-00187,ANS-0129,DOC-0038,SOP & Sirkular Internal,0.934,0.8819000000000001,True,calculated
CIT-00188,ANS-0130,DOC-0007,Kontrak & Perjanjian Vendor,0.888,0.7857999999999999,False,calculated
CIT-00189,ANS-0130,DOC-0029,Kontrak & Perjanjian Vendor,0.888,0.7857999999999999,True,calculated
CIT-00190,ANS-0131,DOC-0029,Kontrak & Perjanjian Vendor,0.688,0.7158,True,calculated
CIT-00191,ANS-0132,DOC-0019,SOP & Sirkular Internal,0.896,0.8686,True,calculated
CIT-00192,ANS-0133,DOC-0015,Kontrak & Perjanjian Vendor,0.96,0.8109999999999999,True,calculated
CIT-00193,ANS-0133,DOC-0015,Kontrak & Perjanjian Vendor,0.96,0.8109999999999999,True,calculated
CIT-00194,ANS-0134,DOC-0035,Referensi Regulasi Eksternal,0.881,0.68335,True,calculated
CIT-00195,ANS-0134,DOC-0028,SOP & Sirkular Internal,0.881,0.8633500000000001,True,calculated
CIT-00196,ANS-0135,DOC-0022,Referensi Regulasi Eksternal,0.977,0.71695,True,calculated
CIT-00197,ANS-0135,DOC-0005,SOP & Sirkular Internal,0.977,0.89695,True,calculated
CIT-00198,ANS-0136,DOC-0033,Kontrak & Perjanjian Vendor,0.863,0.77705,True,calculated
CIT-00199,ANS-0136,DOC-0033,Kontrak & Perjanjian Vendor,0.863,0.77705,True,calculated
CIT-00200,ANS-0137,DOC-0023,SOP & Sirkular Internal,0.956,0.8896000000000001,False,calculated
CIT-00201,ANS-0137,DOC-0010,Referensi Regulasi Eksternal,0.956,0.7096,True,calculated
CIT-00202,ANS-0138,DOC-0027,Kontrak & Perjanjian Vendor,0.938,0.8032999999999999,True,calculated
CIT-00203,ANS-0139,DOC-0040,Referensi Regulasi Eksternal,0.973,0.71555,False,calculated
CIT-00204,ANS-0139,DOC-0027,Kontrak & Perjanjian Vendor,0.973,0.81555,True,calculated
CIT-00205,ANS-0140,DOC-0035,Referensi Regulasi Eksternal,0.906,0.6921,True,calculated
CIT-00206,ANS-0140,DOC-0018,Kontrak & Perjanjian Vendor,0.906,0.7921,True,calculated
CIT-00207,ANS-0141,DOC-0027,Kontrak & Perjanjian Vendor,0.793,0.75255,False,calculated
CIT-00208,ANS-0141,DOC-0032,SOP & Sirkular Internal,0.793,0.8325500000000001,True,calculated
CIT-00209,ANS-0142,DOC-0020,SOP & Sirkular Internal,0.911,0.87385,True,calculated
CIT-00210,ANS-0143,DOC-0029,Kontrak & Perjanjian Vendor,0.632,0.6962,False,calculated
CIT-00211,ANS-0143,DOC-0039,SOP & Sirkular Internal,0.632,0.7762000000000001,True,calculated
CIT-00212,ANS-0144,DOC-0031,SOP & Sirkular Internal,0.987,0.9004500000000001,True,calculated
CIT-00213,ANS-0144,DOC-0027,Kontrak & Perjanjian Vendor,0.987,0.82045,False,calculated
CIT-00214,ANS-0145,DOC-0025,Kontrak & Perjanjian Vendor,0.861,0.77635,True,calculated
CIT-00215,ANS-0145,DOC-0030,SOP & Sirkular Internal,0.861,0.8563500000000001,False,calculated
CIT-00216,ANS-0146,DOC-0033,Kontrak & Perjanjian Vendor,0.949,0.8071499999999999,False,calculated
CIT-00217,ANS-0147,DOC-0030,SOP & Sirkular Internal,0.829,0.8451500000000001,True,calculated
CIT-00218,ANS-0149,DOC-0032,SOP & Sirkular Internal,0.983,0.89905,True,calculated
CIT-00219,ANS-0150,DOC-0018,Kontrak & Perjanjian Vendor,0.552,0.6682,True,calculated
CIT-00220,ANS-0151,DOC-0019,SOP & Sirkular Internal,0.64,0.779,True,calculated
CIT-00221,ANS-0152,DOC-0012,SOP & Sirkular Internal,0.99,0.9015000000000001,True,calculated
CIT-00222,ANS-0152,DOC-0021,Kontrak & Perjanjian Vendor,0.99,0.8215,True,calculated
CIT-00223,ANS-0153,DOC-0009,SOP & Sirkular Internal,0.803,0.8360500000000001,True,calculated
CIT-00224,ANS-0154,DOC-0020,SOP & Sirkular Internal,0.913,0.87455,False,calculated
CIT-00225,ANS-0154,DOC-0021,Kontrak & Perjanjian Vendor,0.913,0.79455,False,calculated
CIT-00226,ANS-0155,DOC-0016,Kontrak & Perjanjian Vendor,0.977,0.81695,True,calculated
CIT-00227,ANS-0156,DOC-0034,SOP & Sirkular Internal,0.977,0.89695,True,calculated
CIT-00228,ANS-0156,DOC-0034,SOP & Sirkular Internal,0.977,0.89695,True,calculated
CIT-00229,ANS-0157,DOC-0007,Kontrak & Perjanjian Vendor,0.965,0.81275,True,calculated
CIT-00230,ANS-0158,DOC-0023,SOP & Sirkular Internal,0.68,0.793,True,calculated
CIT-00231,ANS-0159,DOC-0008,Kontrak & Perjanjian Vendor,0.983,0.81905,True,calculated
CIT-00232,ANS-0160,DOC-0035,Referensi Regulasi Eksternal,0.951,0.70785,False,calculated
CIT-00233,ANS-0161,DOC-0011,Referensi Regulasi Eksternal,0.983,0.71905,True,calculated
CIT-00234,ANS-0162,DOC-0040,Referensi Regulasi Eksternal,0.682,0.6137,False,calculated
CIT-00235,ANS-0162,DOC-0031,SOP & Sirkular Internal,0.682,0.7937000000000001,True,calculated
CIT-00236,ANS-0163,DOC-0024,SOP & Sirkular Internal,0.901,0.8703500000000001,True,calculated
CIT-00237,ANS-0164,DOC-0009,SOP & Sirkular Internal,0.865,0.85775,True,calculated
CIT-00238,ANS-0164,DOC-0040,Referensi Regulasi Eksternal,0.865,0.67775,True,calculated
CIT-00239,ANS-0165,DOC-0011,Referensi Regulasi Eksternal,0.932,0.7012,True,calculated
CIT-00240,ANS-0166,DOC-0018,Kontrak & Perjanjian Vendor,0.636,0.6976,True,calculated
CIT-00241,ANS-0167,DOC-0030,SOP & Sirkular Internal,0.989,0.90115,True,calculated
CIT-00242,ANS-0169,DOC-0014,Kontrak & Perjanjian Vendor,0.461,0.63635,True,calculated
CIT-00243,ANS-0169,DOC-0012,SOP & Sirkular Internal,0.461,0.71635,False,calculated
CIT-00244,ANS-0170,DOC-0016,Kontrak & Perjanjian Vendor,0.724,0.7283999999999999,True,calculated
CIT-00245,ANS-0171,DOC-0020,SOP & Sirkular Internal,0.913,0.87455,True,calculated
CIT-00246,ANS-0172,DOC-0018,Kontrak & Perjanjian Vendor,0.968,0.8138,True,calculated
CIT-00247,ANS-0173,DOC-0027,Kontrak & Perjanjian Vendor,0.943,0.8050499999999999,True,calculated
CIT-00248,ANS-0174,DOC-0011,Referensi Regulasi Eksternal,0.908,0.6928,True,calculated
CIT-00249,ANS-0174,DOC-0009,SOP & Sirkular Internal,0.908,0.8728,True,calculated
CIT-00250,ANS-0175,DOC-0032,SOP & Sirkular Internal,0.896,0.8686,False,calculated
CIT-00251,ANS-0175,DOC-0018,Kontrak & Perjanjian Vendor,0.896,0.7886,False,calculated
CIT-00252,ANS-0176,DOC-0017,SOP & Sirkular Internal,0.709,0.80315,True,calculated
CIT-00253,ANS-0177,DOC-0039,SOP & Sirkular Internal,0.698,0.7993,True,calculated
CIT-00254,ANS-0178,DOC-0022,Referensi Regulasi Eksternal,0.945,0.70575,False,calculated
CIT-00255,ANS-0178,DOC-0003,SOP & Sirkular Internal,0.945,0.88575,False,calculated
CIT-00256,ANS-0179,DOC-0027,Kontrak & Perjanjian Vendor,0.956,0.8096,True,calculated
CIT-00257,ANS-0180,DOC-0030,SOP & Sirkular Internal,0.92,0.8770000000000001,True,calculated
CIT-00258,ANS-0180,DOC-0030,SOP & Sirkular Internal,0.92,0.8770000000000001,True,calculated
CIT-00259,ANS-0181,DOC-0004,SOP & Sirkular Internal,0.944,0.8854000000000001,False,calculated
CIT-00260,ANS-0182,DOC-0023,SOP & Sirkular Internal,0.977,0.89695,True,calculated
CIT-00261,ANS-0182,DOC-0013,Kontrak & Perjanjian Vendor,0.977,0.81695,True,calculated
CIT-00262,ANS-0183,DOC-0019,SOP & Sirkular Internal,0.905,0.87175,True,calculated
CIT-00263,ANS-0183,DOC-0012,SOP & Sirkular Internal,0.905,0.87175,True,calculated
CIT-00264,ANS-0184,DOC-0010,Referensi Regulasi Eksternal,0.897,0.68895,False,calculated
CIT-00265,ANS-0185,DOC-0033,Kontrak & Perjanjian Vendor,0.47,0.6395,True,calculated
CIT-00266,ANS-0185,DOC-0030,SOP & Sirkular Internal,0.47,0.7195,False,calculated
CIT-00267,ANS-0186,DOC-0038,SOP & Sirkular Internal,0.467,0.71845,False,calculated
