po_id,po_date,business_unit,spec_id,cpu_tier,ram_gb,storage_gb,dedicated_gpu,qty,historical_unit_price_rp,current_quote_unit_price_rp,vendor,has_benchmark_reference,has_supporting_doc,data_type,historical_total_rp,current_quote_total_rp
PO-02411,2025-04-07,Compliance,SPEC-ENTRY,entry,8,256,False,20,5826000.0,6399000.0,Vendor A,False,False,synthetic,116520000.0,127980000.0
PO-02412,2024-12-16,Operations,SPEC-ENTRY,entry,8,256,False,15,5247000.0,5731000.0,Vendor D,False,True,synthetic,78705000.0,85965000.0
PO-02413,2025-01-09,Finance & Risk,SPEC-PREMIUM,premium,16,512,False,10,19515000.0,19278000.0,Vendor B,True,True,synthetic,195150000.0,192780000.0
PO-02414,2025-01-09,IT & Digital,SPEC-ENTRY,entry,8,256,False,10,5441000.0,5516000.0,Vendor B,True,True,synthetic,54410000.0,55160000.0
PO-02415,2025-01-10,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,40,5781000.0,6485000.0,Vendor A,True,True,synthetic,231240000.0,259400000.0
PO-02416,2025-12-26,Retail Banking,SPEC-HIGH,high,16,512,True,30,21995000.0,23753000.0,Vendor A,False,False,synthetic,659850000.0,712590000.0
PO-02417,2025-12-28,Compliance,SPEC-ENTRY,entry,8,256,False,25,5185000.0,6491000.0,Vendor E,True,True,synthetic,129625000.0,162275000.0
PO-02418,2024-12-02,Operations,SPEC-HIGH,high,16,512,True,30,22113000.0,22283000.0,Vendor A,True,True,synthetic,663390000.0,668490000.0
PO-02419,2024-12-18,Finance & Risk,SPEC-ENTRY,entry,8,256,False,10,5503000.0,5324000.0,Vendor E,False,True,synthetic,55030000.0,53240000.0
PO-02420,2024-10-04,IT & Digital,SPEC-HIGH,high,16,512,True,15,20837000.0,20613000.0,Vendor A,True,True,synthetic,312555000.0,309195000.0
PO-02421,2024-11-03,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,30,5609000.0,5561000.0,Vendor B,True,False,synthetic,168270000.0,166830000.0
PO-02422,2025-09-15,Retail Banking,SPEC-PREMIUM,premium,16,512,False,15,22246000.0,19484000.0,Vendor D,True,False,synthetic,333690000.0,292260000.0
PO-02423,2025-10-08,Compliance,SPEC-ENTRY,entry,8,256,False,15,5937000.0,5084000.0,Vendor B,True,True,synthetic,89055000.0,76260000.0
PO-02424,2025-03-20,Operations,SPEC-HIGH,high,16,512,True,10,19611000.0,21734000.0,Vendor A,True,False,synthetic,196110000.0,217340000.0
PO-02425,2025-03-30,Finance & Risk,SPEC-HIGH,high,16,512,True,20,20486000.0,22193000.0,Vendor A,True,True,synthetic,409720000.0,443860000.0
PO-02426,2025-07-16,IT & Digital,SPEC-PREMIUM,premium,16,512,False,15,20937000.0,23925000.0,Vendor A,False,True,synthetic,314055000.0,358875000.0
PO-02427,2025-07-20,Corporate Affairs,SPEC-PREMIUM,premium,16,512,False,10,22620000.0,20533000.0,Vendor D,True,True,synthetic,226200000.0,205330000.0
PO-02428,2024-12-07,Retail Banking,SPEC-HIGH,high,16,512,True,5,20246000.0,22908000.0,Vendor C,False,True,synthetic,101230000.0,114540000.0
PO-02429,2024-12-24,Compliance,SPEC-MID,mid,16,512,False,30,8932000.0,9146000.0,Vendor A,True,True,synthetic,267960000.0,274380000.0
PO-02430,2025-01-25,Operations,SPEC-MID,mid,16,512,False,10,8051000.0,7496000.0,Vendor B,True,True,synthetic,80510000.0,74960000.0
PO-02431,2025-02-01,Finance & Risk,SPEC-ENTRY,entry,8,256,False,10,5664000.0,5521000.0,Vendor D,False,True,synthetic,56640000.0,55210000.0
PO-02432,2025-07-06,IT & Digital,SPEC-MID,mid,16,512,False,40,8954000.0,8603000.0,Vendor E,True,True,synthetic,358160000.0,344120000.0
PO-02433,2025-07-27,Corporate Affairs,SPEC-MID,mid,16,512,False,15,8269000.0,7573000.0,Vendor E,True,True,synthetic,124035000.0,113595000.0
PO-02434,2025-12-28,Retail Banking,SPEC-HIGH,high,16,512,True,20,22353000.0,22444000.0,Vendor C,False,False,synthetic,447060000.0,448880000.0
PO-02435,2026-01-31,Compliance,SPEC-ENTRY,entry,8,256,False,30,5601000.0,5246000.0,Vendor D,True,True,synthetic,168030000.0,157380000.0
PO-02436,2025-06-18,Operations,SPEC-ENTRY,entry,8,256,False,5,5733000.0,5227000.0,Vendor C,False,True,synthetic,28665000.0,26135000.0
PO-02437,2025-06-25,Finance & Risk,SPEC-ENTRY,entry,8,256,False,10,5737000.0,5877000.0,Vendor E,True,True,synthetic,57370000.0,58770000.0
PO-02438,2025-09-15,IT & Digital,SPEC-ENTRY,entry,8,256,False,40,5104000.0,6067000.0,Vendor D,False,True,synthetic,204160000.0,242680000.0
PO-02439,2025-10-04,Corporate Affairs,SPEC-MID,mid,16,512,False,15,8088000.0,8602000.0,Vendor B,False,False,synthetic,121320000.0,129030000.0
PO-02440,2025-09-01,Retail Banking,SPEC-ENTRY,entry,8,256,False,10,5446000.0,5189000.0,Vendor A,True,True,synthetic,54460000.0,51890000.0
PO-02441,2025-09-25,Compliance,SPEC-MID,mid,16,512,False,10,7694000.0,7511000.0,Vendor E,True,True,synthetic,76940000.0,75110000.0
PO-02442,2025-03-08,Operations,SPEC-ENTRY,entry,8,256,False,15,5278000.0,5818000.0,Vendor E,False,True,synthetic,79170000.0,87270000.0
PO-02443,2025-04-10,Finance & Risk,SPEC-ENTRY,entry,8,256,False,30,5486000.0,6004000.0,Vendor E,False,True,synthetic,164580000.0,180120000.0
PO-02444,2025-03-15,IT & Digital,SPEC-ENTRY,entry,8,256,False,10,5162000.0,6065000.0,Vendor A,True,False,synthetic,51620000.0,60650000.0
PO-02445,2025-03-18,Corporate Affairs,SPEC-HIGH,high,16,512,True,30,19461000.0,18962000.0,Vendor A,True,True,synthetic,583830000.0,568860000.0
PO-02446,2025-06-26,Retail Banking,SPEC-HIGH,high,16,512,True,50,21052000.0,21664000.0,Vendor C,True,False,synthetic,1052600000.0,1083200000.0
PO-02447,2025-06-28,Compliance,SPEC-MID,mid,16,512,False,20,8847000.0,8947000.0,Vendor D,True,True,synthetic,176940000.0,178940000.0
PO-02448,2024-09-23,Operations,SPEC-MID,mid,16,512,False,10,8274000.0,8135000.0,Vendor D,True,True,synthetic,82740000.0,81350000.0
PO-02449,2024-10-01,Finance & Risk,SPEC-HIGH,high,16,512,True,30,19838000.0,22839000.0,Vendor D,True,True,synthetic,595140000.0,685170000.0
PO-02450,2025-12-24,IT & Digital,SPEC-ENTRY,entry,8,256,False,5,5786000.0,6479000.0,Vendor A,False,True,synthetic,28930000.0,32395000.0
PO-02451,2026-01-16,Corporate Affairs,SPEC-HIGH,high,16,512,True,20,20608000.0,18686000.0,Vendor A,True,True,synthetic,412160000.0,373720000.0
PO-02452,2025-11-05,Retail Banking,SPEC-ENTRY,entry,8,256,False,25,5600000.0,5854000.0,Vendor D,False,False,synthetic,140000000.0,146350000.0
PO-02453,2025-11-26,Compliance,SPEC-ENTRY,entry,8,256,False,40,5368000.0,5428000.0,Vendor C,False,False,synthetic,214720000.0,217120000.0
PO-02454,2025-04-03,Operations,SPEC-MID,mid,16,512,False,10,8308000.0,7607000.0,Vendor C,True,True,synthetic,83080000.0,76070000.0
PO-02455,2025-05-10,Finance & Risk,SPEC-ENTRY,entry,8,256,False,5,5278000.0,6125000.0,Vendor A,False,True,synthetic,26390000.0,30625000.0
PO-02456,2025-05-20,IT & Digital,SPEC-MID,mid,16,512,False,30,8503000.0,9168000.0,Vendor E,False,True,synthetic,255090000.0,275040000.0
PO-02457,2025-05-27,Corporate Affairs,SPEC-MID,mid,16,512,False,15,8443000.0,8944000.0,Vendor E,False,False,synthetic,126645000.0,134160000.0
PO-02458,2025-04-19,Retail Banking,SPEC-ENTRY,entry,8,256,False,20,5585000.0,5670000.0,Vendor A,True,True,synthetic,111700000.0,113400000.0
PO-02459,2025-05-12,Compliance,SPEC-MID,mid,16,512,False,20,8537000.0,9079000.0,Vendor B,False,True,synthetic,170740000.0,181580000.0
PO-02460,2026-03-14,Retail Banking,SPEC-MID,mid,16,512,False,30,8019000.0,8616000.0,Vendor A,False,True,synthetic,240570000.0,258480000.0
PO-02461,2025-11-01,IT & Digital,SPEC-ENTRY,entry,8,256,False,20,5761000.0,6224000.0,Vendor E,True,True,synthetic,115220000.0,124480000.0
PO-02462,2024-09-26,Corporate Affairs,SPEC-HIGH,high,16,512,True,5,21158000.0,20859000.0,Vendor D,True,True,synthetic,105790000.0,104295000.0
PO-02463,2025-05-27,Operations,SPEC-PREMIUM,premium,16,512,False,5,21108000.0,20048000.0,Vendor B,False,True,synthetic,105540000.0,100240000.0
PO-02464,2026-04-01,IT & Digital,SPEC-HIGH,high,16,512,True,40,19759000.0,22321000.0,Vendor E,True,True,synthetic,790360000.0,892840000.0
PO-02465,2026-06-27,Compliance,SPEC-HIGH,high,16,512,True,10,21166000.0,21978000.0,Vendor D,True,True,synthetic,211660000.0,219780000.0
PO-02466,2026-03-11,Retail Banking,SPEC-MID,mid,16,512,False,5,8769000.0,8015000.0,Vendor E,False,False,synthetic,43845000.0,40075000.0
PO-02467,2025-09-19,Operations,SPEC-MID,mid,16,512,False,5,8275000.0,8357000.0,Vendor B,True,False,synthetic,41375000.0,41785000.0
PO-02468,2024-09-16,Operations,SPEC-ENTRY,entry,8,256,False,5,5594000.0,5244000.0,Vendor B,False,True,synthetic,27970000.0,26220000.0
PO-02469,2025-11-25,Retail Banking,SPEC-PREMIUM,premium,16,512,False,40,19896000.0,24174000.0,Vendor E,False,True,synthetic,795840000.0,966960000.0
PO-02470,2025-09-06,Retail Banking,SPEC-MID,mid,16,512,False,20,7672000.0,9649000.0,Vendor D,False,True,synthetic,153440000.0,192980000.0
PO-02471,2024-09-09,Finance & Risk,SPEC-MID,mid,16,512,False,10,8335000.0,8399000.0,Vendor E,True,True,synthetic,83350000.0,83990000.0
PO-02472,2025-07-17,Finance & Risk,SPEC-PREMIUM,premium,16,512,False,15,20473000.0,20407000.0,Vendor A,True,True,synthetic,307095000.0,306105000.0
PO-02473,2026-07-17,Retail Banking,SPEC-ENTRY,entry,8,256,False,10,5723000.0,4940000.0,Vendor B,True,True,synthetic,57230000.0,49400000.0
PO-02474,2024-11-23,IT & Digital,SPEC-MID,mid,16,512,False,10,8347000.0,8799000.0,Vendor D,True,True,synthetic,83470000.0,87990000.0
PO-02475,2025-12-16,IT & Digital,SPEC-PREMIUM,premium,16,512,False,25,19434000.0,22010000.0,Vendor C,True,True,synthetic,485850000.0,550250000.0
PO-02476,2026-03-31,Retail Banking,SPEC-MID,mid,16,512,False,5,7815000.0,9573000.0,Vendor E,False,True,synthetic,39075000.0,47865000.0
PO-02477,2025-01-19,Retail Banking,SPEC-ENTRY,entry,8,256,False,5,5501000.0,5435000.0,Vendor B,True,True,synthetic,27505000.0,27175000.0
PO-02478,2026-03-16,IT & Digital,SPEC-HIGH,high,16,512,True,40,19805000.0,20416000.0,Vendor D,True,True,synthetic,792200000.0,816640000.0
PO-02479,2026-07-11,Compliance,SPEC-PREMIUM,premium,16,512,False,15,20786000.0,22678000.0,Vendor D,True,True,synthetic,311790000.0,340170000.0
PO-02480,2026-04-02,Retail Banking,SPEC-MID,mid,16,512,False,30,8549000.0,8193000.0,Vendor B,False,True,synthetic,256470000.0,245790000.0
PO-02481,2026-03-11,Finance & Risk,SPEC-ENTRY,entry,8,256,False,30,5545000.0,5216000.0,Vendor C,False,False,synthetic,166350000.0,156480000.0
PO-02482,2025-05-11,Retail Banking,SPEC-PREMIUM,premium,16,512,False,15,22567000.0,22093000.0,Vendor B,False,True,synthetic,338505000.0,331395000.0
PO-02483,2025-03-27,Operations,SPEC-ENTRY,entry,8,256,False,30,5174000.0,5695000.0,Vendor C,True,True,synthetic,155220000.0,170850000.0
PO-02484,2025-11-17,Corporate Affairs,SPEC-MID,mid,16,512,False,20,8761000.0,7826000.0,Vendor B,False,True,synthetic,175220000.0,156520000.0
PO-02485,2026-05-15,Finance & Risk,SPEC-ENTRY,entry,8,256,False,25,5893000.0,6067000.0,Vendor A,False,False,synthetic,147325000.0,151675000.0
PO-02486,2025-02-16,Corporate Affairs,SPEC-MID,mid,16,512,False,40,8655000.0,8437000.0,Vendor E,True,True,synthetic,346200000.0,337480000.0
PO-02487,2024-11-16,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,10,5857000.0,5534000.0,Vendor C,True,False,synthetic,58570000.0,55340000.0
PO-02488,2025-11-12,Finance & Risk,SPEC-HIGH,high,16,512,True,20,21346000.0,21461000.0,Vendor A,True,True,synthetic,426920000.0,429220000.0
PO-02489,2025-08-06,IT & Digital,SPEC-MID,mid,16,512,False,25,8326000.0,8483000.0,Vendor D,True,False,synthetic,208150000.0,212075000.0
PO-02490,2025-03-16,Retail Banking,SPEC-HIGH,high,16,512,True,25,21373000.0,20355000.0,Vendor A,True,True,synthetic,534325000.0,508875000.0
PO-02491,2025-03-03,Finance & Risk,SPEC-MID,mid,16,512,False,30,8931000.0,8265000.0,Vendor B,False,True,synthetic,267930000.0,247950000.0
PO-02492,2025-09-27,Compliance,SPEC-HIGH,high,16,512,True,20,20725000.0,23914000.0,Vendor A,True,True,synthetic,414500000.0,478280000.0
PO-02493,2026-04-08,Retail Banking,SPEC-HIGH,high,16,512,True,10,20982000.0,24046000.0,Vendor B,False,False,synthetic,209820000.0,240460000.0
PO-02494,2025-04-05,Finance & Risk,SPEC-ENTRY,entry,8,256,False,10,5226000.0,6277000.0,Vendor B,True,False,synthetic,52260000.0,62770000.0
PO-02495,2024-09-09,IT & Digital,SPEC-MID,mid,16,512,False,10,8342000.0,9288000.0,Vendor D,True,True,synthetic,83420000.0,92880000.0
PO-02496,2025-04-10,IT & Digital,SPEC-HIGH,high,16,512,True,5,20726000.0,24049000.0,Vendor A,True,True,synthetic,103630000.0,120245000.0
PO-02497,2025-04-29,Operations,SPEC-ENTRY,entry,8,256,False,15,5514000.0,5190000.0,Vendor B,False,True,synthetic,82710000.0,77850000.0
PO-02498,2025-09-20,Retail Banking,SPEC-HIGH,high,16,512,True,25,21996000.0,20812000.0,Vendor A,True,True,synthetic,549900000.0,520300000.0
PO-02499,2025-08-24,Retail Banking,SPEC-ENTRY,entry,8,256,False,30,5303000.0,6058000.0,Vendor A,False,True,synthetic,159090000.0,181740000.0
PO-02500,2025-09-02,Operations,SPEC-HIGH,high,16,512,True,20,21686000.0,21813000.0,Vendor D,False,True,synthetic,433720000.0,436260000.0
PO-02501,2025-04-16,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,20,5950000.0,5612000.0,Vendor A,False,True,synthetic,119000000.0,112240000.0
PO-02502,2025-02-05,Compliance,SPEC-HIGH,high,16,512,True,10,19547000.0,23205000.0,Vendor E,False,True,synthetic,195470000.0,232050000.0
PO-02503,2025-03-07,Operations,SPEC-ENTRY,entry,8,256,False,20,5205000.0,5065000.0,Vendor B,True,True,synthetic,104100000.0,101300000.0
PO-02504,2026-01-27,IT & Digital,SPEC-MID,mid,16,512,False,30,8912000.0,8275000.0,Vendor C,True,True,synthetic,267360000.0,248250000.0
PO-02505,2026-08-13,Finance & Risk,SPEC-HIGH,high,16,512,True,10,21362000.0,22431000.0,Vendor C,False,False,synthetic,213620000.0,224310000.0
PO-02506,2025-11-13,Retail Banking,SPEC-MID,mid,16,512,False,10,8454000.0,7636000.0,Vendor A,True,True,synthetic,84540000.0,76360000.0
PO-02507,2025-01-11,Retail Banking,SPEC-ENTRY,entry,8,256,False,20,5140000.0,6297000.0,Vendor C,True,True,synthetic,102800000.0,125940000.0
PO-02508,2026-03-06,Operations,SPEC-ENTRY,entry,8,256,False,10,5491000.0,6377000.0,Vendor C,False,True,synthetic,54910000.0,63770000.0
PO-02509,2026-07-21,Compliance,SPEC-PREMIUM,premium,16,512,False,10,21908000.0,21448000.0,Vendor E,False,True,synthetic,219080000.0,214480000.0
PO-02510,2025-09-29,Retail Banking,SPEC-MID,mid,16,512,False,20,8766000.0,8991000.0,Vendor C,False,True,synthetic,175320000.0,179820000.0
PO-02511,2025-05-26,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,15,5808000.0,5593000.0,Vendor D,True,True,synthetic,87120000.0,83895000.0
PO-02512,2025-10-28,Finance & Risk,SPEC-ENTRY,entry,8,256,False,10,5791000.0,5502000.0,Vendor A,True,False,synthetic,57910000.0,55020000.0
PO-02513,2025-04-20,IT & Digital,SPEC-HIGH,high,16,512,True,15,22593000.0,22638000.0,Vendor A,True,True,synthetic,338895000.0,339570000.0
PO-02514,2025-02-02,Retail Banking,SPEC-MID,mid,16,512,False,5,7791000.0,8346000.0,Vendor B,True,True,synthetic,38955000.0,41730000.0
PO-02515,2026-07-03,Finance & Risk,SPEC-ENTRY,entry,8,256,False,5,5659000.0,5632000.0,Vendor C,True,True,synthetic,28295000.0,28160000.0
PO-02516,2024-12-13,Finance & Risk,SPEC-ENTRY,entry,8,256,False,5,5576000.0,4902000.0,Vendor C,True,True,synthetic,27880000.0,24510000.0
PO-02517,2025-04-25,Finance & Risk,SPEC-MID,mid,16,512,False,40,7949000.0,7408000.0,Vendor B,True,True,synthetic,317960000.0,296320000.0
PO-02518,2025-10-16,Operations,SPEC-PREMIUM,premium,16,512,False,5,21467000.0,24619000.0,Vendor D,False,True,synthetic,107335000.0,123095000.0
PO-02519,2025-11-23,Compliance,SPEC-MID,mid,16,512,False,5,8168000.0,9585000.0,Vendor C,True,True,synthetic,40840000.0,47925000.0
PO-02520,2025-11-01,Compliance,SPEC-PREMIUM,premium,16,512,False,20,22536000.0,22072000.0,Vendor A,True,True,synthetic,450720000.0,441440000.0
PO-02521,2025-12-29,Operations,SPEC-MID,mid,16,512,False,30,7859000.0,7936000.0,Vendor E,False,False,synthetic,235770000.0,238080000.0
PO-02522,2026-05-23,Operations,SPEC-ENTRY,entry,8,256,False,20,5707000.0,4996000.0,Vendor A,False,True,synthetic,114140000.0,99920000.0
PO-02523,2025-05-21,IT & Digital,SPEC-MID,mid,16,512,False,15,8452000.0,7848000.0,Vendor D,False,True,synthetic,126780000.0,117720000.0
PO-02524,2026-01-26,Compliance,SPEC-ENTRY,entry,8,256,False,50,5320000.0,4918000.0,Vendor A,True,False,synthetic,266000000.0,245900000.0
PO-02525,2024-12-31,Compliance,SPEC-ENTRY,entry,8,256,False,25,5476000.0,5419000.0,Vendor A,False,True,synthetic,136900000.0,135475000.0
PO-02526,2025-01-14,Compliance,SPEC-HIGH,high,16,512,True,10,22504000.0,21769000.0,Vendor A,True,True,synthetic,225040000.0,217690000.0
PO-02527,2025-02-26,Finance & Risk,SPEC-PREMIUM,premium,16,512,False,5,22107000.0,24516000.0,Vendor D,True,True,synthetic,110535000.0,122580000.0
PO-02528,2026-04-27,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,15,5616000.0,5193000.0,Vendor B,False,True,synthetic,84240000.0,77895000.0
PO-02529,2026-07-03,Finance & Risk,SPEC-MID,mid,16,512,False,20,8756000.0,8919000.0,Vendor B,False,True,synthetic,175120000.0,178380000.0
PO-02530,2026-02-18,Retail Banking,SPEC-ENTRY,entry,8,256,False,10,5646000.0,5006000.0,Vendor A,True,True,synthetic,56460000.0,50060000.0
PO-02531,2024-12-25,Compliance,SPEC-MID,mid,16,512,False,10,8718000.0,9323000.0,Vendor E,False,True,synthetic,87180000.0,93230000.0
PO-02532,2024-12-05,Corporate Affairs,SPEC-MID,mid,16,512,False,30,8972000.0,7585000.0,Vendor B,False,True,synthetic,269160000.0,227550000.0
PO-02533,2026-02-19,Finance & Risk,SPEC-ENTRY,entry,8,256,False,5,5797000.0,5844000.0,Vendor B,False,True,synthetic,28985000.0,29220000.0
PO-02534,2025-08-18,Operations,SPEC-HIGH,high,16,512,True,20,21768000.0,20314000.0,Vendor D,False,True,synthetic,435360000.0,406280000.0
PO-02535,2025-04-23,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,15,5454000.0,6088000.0,Vendor A,True,True,synthetic,81810000.0,91320000.0
PO-02536,2026-05-05,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,25,5642000.0,5505000.0,Vendor E,True,True,synthetic,141050000.0,137625000.0
PO-02537,2025-02-13,IT & Digital,SPEC-PREMIUM,premium,16,512,False,5,21795000.0,22376000.0,Vendor B,False,True,synthetic,108975000.0,111880000.0
PO-02538,2025-12-29,Finance & Risk,SPEC-PREMIUM,premium,16,512,False,50,20910000.0,23177000.0,Vendor D,True,True,synthetic,1045500000.0,1158850000.0
PO-02539,2026-06-24,Retail Banking,SPEC-ENTRY,entry,8,256,False,20,5898000.0,5056000.0,Vendor A,False,True,synthetic,117960000.0,101120000.0
PO-02540,2025-01-21,Retail Banking,SPEC-MID,mid,16,512,False,20,7941000.0,7998000.0,Vendor A,True,True,synthetic,158820000.0,159960000.0
PO-02541,2026-05-29,Operations,SPEC-MID,mid,16,512,False,5,8252000.0,8333000.0,Vendor A,True,True,synthetic,41260000.0,41665000.0
PO-02542,2024-10-20,Retail Banking,SPEC-PREMIUM,premium,16,512,False,40,21855000.0,23904000.0,Vendor E,True,True,synthetic,874200000.0,956160000.0
PO-02543,2025-11-13,Operations,SPEC-ENTRY,entry,8,256,False,20,5300000.0,5082000.0,Vendor B,False,True,synthetic,106000000.0,101640000.0
PO-02544,2025-08-01,Retail Banking,SPEC-ENTRY,entry,8,256,False,30,5592000.0,6371000.0,Vendor C,False,False,synthetic,167760000.0,191130000.0
PO-02545,2026-07-27,IT & Digital,SPEC-MID,mid,16,512,False,10,7714000.0,7551000.0,Vendor D,True,False,synthetic,77140000.0,75510000.0
PO-02546,2024-10-10,Finance & Risk,SPEC-ENTRY,entry,8,256,False,20,5785000.0,5926000.0,Vendor E,True,True,synthetic,115700000.0,118520000.0
PO-02547,2025-01-13,IT & Digital,SPEC-PREMIUM,premium,16,512,False,20,20412000.0,20172000.0,Vendor C,True,True,synthetic,408240000.0,403440000.0
PO-02548,2026-03-03,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,5,5344000.0,5337000.0,Vendor D,True,True,synthetic,26720000.0,26685000.0
PO-02549,2025-07-25,Retail Banking,SPEC-ENTRY,entry,8,256,False,5,5274000.0,5767000.0,Vendor D,False,True,synthetic,26370000.0,28835000.0
PO-02550,2025-09-24,Retail Banking,SPEC-PREMIUM,premium,16,512,False,25,19527000.0,23006000.0,Vendor A,False,True,synthetic,488175000.0,575150000.0
PO-02551,2026-03-14,Operations,SPEC-MID,mid,16,512,False,50,8060000.0,7765000.0,Vendor A,False,True,synthetic,403000000.0,388250000.0
PO-02552,2024-10-19,Operations,SPEC-HIGH,high,16,512,True,5,22316000.0,19737000.0,Vendor D,False,True,synthetic,111580000.0,98685000.0
PO-02553,2024-11-29,Retail Banking,SPEC-ENTRY,entry,8,256,False,5,5399000.0,5012000.0,Vendor D,True,False,synthetic,26995000.0,25060000.0
PO-02554,2026-07-12,Compliance,SPEC-PREMIUM,premium,16,512,False,20,21825000.0,22273000.0,Vendor A,True,True,synthetic,436500000.0,445460000.0
PO-02555,2024-10-26,Corporate Affairs,SPEC-MID,mid,16,512,False,20,8982000.0,8963000.0,Vendor C,False,True,synthetic,179640000.0,179260000.0
PO-02556,2026-02-14,Compliance,SPEC-HIGH,high,16,512,True,40,19395000.0,21704000.0,Vendor B,True,True,synthetic,775800000.0,868160000.0
PO-02557,2025-01-04,Retail Banking,SPEC-ENTRY,entry,8,256,False,30,5172000.0,6063000.0,Vendor A,True,True,synthetic,155160000.0,181890000.0
PO-02558,2025-02-24,Operations,SPEC-ENTRY,entry,8,256,False,10,5730000.0,5937000.0,Vendor C,False,True,synthetic,57300000.0,59370000.0
PO-02559,2024-12-21,Corporate Affairs,SPEC-PREMIUM,premium,16,512,False,40,21984000.0,24230000.0,Vendor D,False,True,synthetic,879360000.0,969200000.0
PO-02560,2025-02-16,Corporate Affairs,SPEC-ENTRY,entry,8,256,False,10,5199000.0,5053000.0,Vendor A,False,True,synthetic,51990000.0,50530000.0
PO-02561,2025-10-30,Compliance,SPEC-ENTRY,entry,8,256,False,5,5773000.0,5468000.0,Vendor E,True,True,synthetic,28865000.0,27340000.0
PO-02562,2024-09-25,Finance & Risk,SPEC-HIGH,high,16,512,True,25,21759000.0,19465000.0,Vendor D,False,True,synthetic,543975000.0,486625000.0
PO-02563,2025-12-11,Finance & Risk,SPEC-MID,mid,16,512,False,15,8243000.0,7619000.0,Vendor B,True,True,synthetic,123645000.0,114285000.0
PO-02564,2025-02-22,Operations,SPEC-PREMIUM,premium,16,512,False,30,20595000.0,20578000.0,Vendor B,False,False,synthetic,617850000.0,617340000.0
PO-02565,2025-04-04,Retail Banking,SPEC-ENTRY,entry,8,256,False,25,5601000.0,5453000.0,Vendor D,True,False,synthetic,140025000.0,136325000.0
PO-02566,2025-06-25,Compliance,SPEC-MID,mid,16,512,False,25,8310000.0,7440000.0,Vendor B,True,True,synthetic,207750000.0,186000000.0
PO-02567,2025-10-13,Finance & Risk,SPEC-ENTRY,entry,8,256,False,5,5171000.0,6014000.0,Vendor A,True,True,synthetic,25855000.0,30070000.0
PO-02568,2026-08-06,IT & Digital,SPEC-ENTRY,entry,8,256,False,40,5956000.0,5124000.0,Vendor D,False,True,synthetic,238240000.0,204960000.0
PO-02569,2026-01-25,Retail Banking,SPEC-HIGH,high,16,512,True,15,22184000.0,21559000.0,Vendor A,True,True,synthetic,332760000.0,323385000.0
PO-02570,2024-09-25,Finance & Risk,SPEC-ENTRY,entry,8,256,False,20,5185000.0,5205000.0,Vendor B,False,True,synthetic,103700000.0,104100000.0
PO-02571,2024-11-04,Operations,SPEC-MID,mid,16,512,False,20,8126000.0,9079000.0,Vendor C,True,False,synthetic,162520000.0,181580000.0
