citation_id,answer_id,document_id,chunk_id,page,section,bbox,data_type
CIT-00126,ANS-0084,DOC-0027,Chunk_6919,9,Sec. 7.6,"x:76-666,y:125-559",synthetic
CIT-00127,ANS-0084,DOC-0024,Chunk_9741,3,Sec. 7.2,"x:277-427,y:256-624",synthetic
CIT-00128,ANS-0085,DOC-0001,Chunk_8161,25,Sec. 3.3,"x:397-582,y:463-586",synthetic
CIT-00129,ANS-0085,DOC-0034,Chunk_8256,10,Sec. 2.5,"x:124-628,y:111-665",synthetic
CIT-00130,ANS-0086,DOC-0002,Chunk_6303,2,Sec. 3.3,"x:231-675,y:284-579",synthetic
CIT-00131,ANS-0086,DOC-0025,Chunk_8874,12,Sec. 4.1,"x:151-566,y:460-565",synthetic
CIT-00132,ANS-0087,DOC-0033,Chunk_3605,8,Sec. 1.8,"x:88-464,y:155-641",synthetic
CIT-00133,ANS-0087,DOC-0013,Chunk_7049,24,Sec. 1.3,"x:51-419,y:289-552",synthetic
CIT-00134,ANS-0088,DOC-0040,Chunk_4519,37,Sec. 6.4,"x:215-426,y:254-616",synthetic
CIT-00135,ANS-0089,DOC-0028,Chunk_5150,2,Sec. 3.7,"x:178-678,y:308-627",synthetic
CIT-00136,ANS-0090,DOC-0008,Chunk_1927,1,Sec. 4.7,"x:372-657,y:321-683",synthetic
CIT-00137,ANS-0091,DOC-0012,Chunk_1808,12,Sec. 3.2,"x:179-580,y:208-571",synthetic
CIT-00138,ANS-0092,DOC-0020,Chunk_7140,27,Sec. 2.3,"x:276-464,y:127-564",synthetic
CIT-00139,ANS-0093,DOC-0009,Chunk_1298,27,Sec. 2.6,"x:248-437,y:240-663",synthetic
CIT-00140,ANS-0093,DOC-0027,Chunk_6881,14,Sec. 1.8,"x:167-638,y:286-615",synthetic
CIT-00141,ANS-0094,DOC-0005,Chunk_1174,19,Sec. 2.8,"x:58-404,y:137-609",synthetic
CIT-00142,ANS-0095,DOC-0031,Chunk_8199,2,Sec. 5.6,"x:198-677,y:364-506",synthetic
CIT-00143,ANS-0096,DOC-0010,Chunk_1315,25,Sec. 2.1,"x:127-646,y:339-663",synthetic
CIT-00144,ANS-0096,DOC-0006,Chunk_1170,1,Sec. 4.2,"x:244-480,y:488-575",synthetic
CIT-00145,ANS-0097,DOC-0025,Chunk_5201,7,Sec. 4.3,"x:300-572,y:392-688",synthetic
CIT-00146,ANS-0098,DOC-0025,Chunk_2015,20,Sec. 4.3,"x:333-672,y:252-636",synthetic
CIT-00147,ANS-0098,DOC-0037,Chunk_0119,9,Sec. 6.4,"x:327-542,y:125-586",synthetic
CIT-00148,ANS-0099,DOC-0013,Chunk_1474,7,Sec. 2.5,"x:398-585,y:426-670",synthetic
CIT-00149,ANS-0100,DOC-0005,Chunk_2431,21,Sec. 7.7,"x:394-504,y:157-671",synthetic
CIT-00150,ANS-0100,DOC-0012,Chunk_9583,10,Sec. 3.3,"x:263-518,y:212-541",synthetic
CIT-00151,ANS-0101,DOC-0039,Chunk_0937,2,Sec. 6.1,"x:196-436,y:334-506",synthetic
CIT-00152,ANS-0101,DOC-0015,Chunk_4110,28,Sec. 1.4,"x:333-587,y:400-563",synthetic
CIT-00153,ANS-0102,DOC-0016,Chunk_6052,1,Sec. 1.8,"x:295-468,y:120-635",synthetic
CIT-00154,ANS-0102,DOC-0024,Chunk_0499,17,Sec. 6.4,"x:133-481,y:280-511",synthetic
CIT-00155,ANS-0103,DOC-0009,Chunk_1129,5,Sec. 3.4,"x:172-606,y:308-538",synthetic
CIT-00156,ANS-0104,DOC-0025,Chunk_4700,2,Sec. 8.6,"x:211-448,y:143-557",synthetic
CIT-00157,ANS-0104,DOC-0031,Chunk_2093,16,Sec. 1.3,"x:354-659,y:103-635",synthetic
CIT-00158,ANS-0105,DOC-0002,Chunk_3903,10,Sec. 2.4,"x:377-583,y:272-524",synthetic
CIT-00159,ANS-0105,DOC-0018,Chunk_1626,29,Sec. 3.3,"x:109-512,y:370-583",synthetic
CIT-00160,ANS-0106,DOC-0029,Chunk_1602,5,Sec. 8.8,"x:399-433,y:295-509",synthetic
CIT-00161,ANS-0107,DOC-0017,Chunk_7733,3,Sec. 1.4,"x:199-587,y:139-622",synthetic
CIT-00162,ANS-0108,DOC-0028,Chunk_9837,1,Sec. 7.2,"x:394-544,y:398-655",synthetic
CIT-00163,ANS-0109,DOC-0040,Chunk_7541,18,Sec. 6.5,"x:212-435,y:217-687",synthetic
CIT-00164,ANS-0109,DOC-0038,Chunk_6360,3,Sec. 6.4,"x:126-443,y:258-613",synthetic
CIT-00165,ANS-0110,DOC-0013,Chunk_2696,12,Sec. 6.4,"x:214-448,y:317-692",synthetic
CIT-00166,ANS-0111,DOC-0025,Chunk_3070,14,Sec. 1.1,"x:321-652,y:487-625",synthetic
CIT-00167,ANS-0111,DOC-0037,Chunk_4164,6,Sec. 2.2,"x:310-402,y:478-654",synthetic
CIT-00168,ANS-0112,DOC-0031,Chunk_1349,16,Sec. 1.1,"x:52-638,y:397-678",synthetic
CIT-00169,ANS-0113,DOC-0008,Chunk_9927,1,Sec. 7.6,"x:106-441,y:491-676",synthetic
CIT-00170,ANS-0113,DOC-0016,Chunk_0748,1,Sec. 1.6,"x:183-414,y:491-665",synthetic
CIT-00171,ANS-0114,DOC-0007,Chunk_0142,18,Sec. 7.7,"x:142-517,y:471-513",synthetic
CIT-00172,ANS-0114,DOC-0033,Chunk_7926,21,Sec. 5.7,"x:368-629,y:146-548",synthetic
CIT-00173,ANS-0115,DOC-0029,Chunk_3606,3,Sec. 6.1,"x:325-597,y:484-501",synthetic
CIT-00174,ANS-0116,DOC-0003,Chunk_4936,4,Sec. 1.7,"x:138-688,y:249-537",synthetic
CIT-00175,ANS-0118,DOC-0020,Chunk_4708,38,Sec. 3.4,"x:268-451,y:431-545",synthetic
CIT-00176,ANS-0118,DOC-0031,Chunk_0108,13,Sec. 5.6,"x:364-633,y:228-665",synthetic
CIT-00177,ANS-0119,DOC-0009,Chunk_3580,22,Sec. 2.8,"x:144-517,y:341-585",synthetic
CIT-00178,ANS-0120,DOC-0028,Chunk_4358,1,Sec. 6.6,"x:126-655,y:256-530",synthetic
CIT-00179,ANS-0121,DOC-0037,Chunk_2160,11,Sec. 6.7,"x:221-672,y:221-674",synthetic
CIT-00180,ANS-0123,DOC-0033,Chunk_7252,20,Sec. 8.8,"x:85-586,y:381-620",synthetic
CIT-00181,ANS-0124,DOC-0027,Chunk_6705,16,Sec. 2.1,"x:191-494,y:493-685",synthetic
CIT-00182,ANS-0125,DOC-0001,Chunk_2288,47,Sec. 4.4,"x:67-453,y:177-597",synthetic
CIT-00183,ANS-0125,DOC-0032,Chunk_1023,17,Sec. 7.1,"x:246-688,y:261-536",synthetic
CIT-00184,ANS-0126,DOC-0009,Chunk_4052,5,Sec. 7.7,"x:296-425,y:132-543",synthetic
CIT-00185,ANS-0127,DOC-0007,Chunk_3923,17,Sec. 1.6,"x:376-439,y:360-601",synthetic
CIT-00186,ANS-0128,DOC-0002,Chunk_7879,17,Sec. 3.1,"x:135-653,y:327-586",synthetic
CIT-00187,ANS-0129,DOC-0038,Chunk_4654,5,Sec. 7.5,"x:374-567,y:237-684",synthetic
CIT-00188,ANS-0130,DOC-0007,Chunk_6710,13,Sec. 1.3,"x:369-571,y:409-534",synthetic
CIT-00189,ANS-0130,DOC-0029,Chunk_9411,6,Sec. 8.7,"x:167-684,y:410-525",synthetic
CIT-00190,ANS-0131,DOC-0029,Chunk_7403,2,Sec. 3.4,"x:97-499,y:371-694",synthetic
CIT-00191,ANS-0132,DOC-0019,Chunk_5301,21,Sec. 5.8,"x:70-554,y:120-675",synthetic
CIT-00192,ANS-0133,DOC-0015,Chunk_6238,17,Sec. 1.8,"x:182-407,y:345-575",synthetic
CIT-00193,ANS-0133,DOC-0015,Chunk_1624,33,Sec. 4.4,"x:331-564,y:100-615",synthetic
CIT-00194,ANS-0134,DOC-0035,Chunk_1808,1,Sec. 7.1,"x:254-650,y:240-540",synthetic
CIT-00195,ANS-0134,DOC-0028,Chunk_6302,1,Sec. 5.1,"x:189-491,y:433-695",synthetic
CIT-00196,ANS-0135,DOC-0022,Chunk_0228,1,Sec. 7.4,"x:227-607,y:238-636",synthetic
CIT-00197,ANS-0135,DOC-0005,Chunk_2404,15,Sec. 2.3,"x:323-694,y:125-629",synthetic
CIT-00198,ANS-0136,DOC-0033,Chunk_7867,2,Sec. 6.3,"x:104-534,y:110-626",synthetic
CIT-00199,ANS-0136,DOC-0033,Chunk_5127,1,Sec. 7.1,"x:141-518,y:380-581",synthetic
CIT-00200,ANS-0137,DOC-0023,Chunk_7649,1,Sec. 7.2,"x:360-693,y:133-519",synthetic
CIT-00201,ANS-0137,DOC-0010,Chunk_1433,26,Sec. 5.5,"x:351-465,y:322-699",synthetic
CIT-00202,ANS-0138,DOC-0027,Chunk_1461,7,Sec. 2.2,"x:348-539,y:243-583",synthetic
CIT-00203,ANS-0139,DOC-0040,Chunk_4689,35,Sec. 1.4,"x:311-554,y:447-677",synthetic
CIT-00204,ANS-0139,DOC-0027,Chunk_8176,5,Sec. 2.8,"x:54-505,y:351-582",synthetic
CIT-00205,ANS-0140,DOC-0035,Chunk_5528,1,Sec. 2.2,"x:309-460,y:367-569",synthetic
CIT-00206,ANS-0140,DOC-0018,Chunk_8738,35,Sec. 1.7,"x:384-600,y:174-632",synthetic
CIT-00207,ANS-0141,DOC-0027,Chunk_4288,10,Sec. 6.4,"x:320-612,y:221-622",synthetic
CIT-00208,ANS-0141,DOC-0032,Chunk_4899,20,Sec. 2.4,"x:295-668,y:358-632",synthetic
CIT-00209,ANS-0142,DOC-0020,Chunk_3563,3,Sec. 2.5,"x:386-548,y:444-655",synthetic
CIT-00210,ANS-0143,DOC-0029,Chunk_4016,6,Sec. 6.6,"x:234-529,y:490-513",synthetic
CIT-00211,ANS-0143,DOC-0039,Chunk_4790,2,Sec. 3.5,"x:191-460,y:213-620",synthetic
CIT-00212,ANS-0144,DOC-0031,Chunk_5473,6,Sec. 2.4,"x:136-606,y:246-666",synthetic
CIT-00213,ANS-0144,DOC-0027,Chunk_4963,13,Sec. 2.7,"x:255-594,y:281-687",synthetic
CIT-00214,ANS-0145,DOC-0025,Chunk_5555,34,Sec. 3.5,"x:314-481,y:307-610",synthetic
CIT-00215,ANS-0145,DOC-0030,Chunk_1776,17,Sec. 2.8,"x:233-611,y:258-559",synthetic
CIT-00216,ANS-0146,DOC-0033,Chunk_3975,8,Sec. 2.5,"x:287-557,y:201-549",synthetic
CIT-00217,ANS-0147,DOC-0030,Chunk_2038,28,Sec. 3.3,"x:262-640,y:285-633",synthetic
CIT-00218,ANS-0149,DOC-0032,Chunk_0666,4,Sec. 5.2,"x:62-453,y:409-617",synthetic
CIT-00219,ANS-0150,DOC-0018,Chunk_3857,36,Sec. 3.1,"x:88-482,y:174-531",synthetic
CIT-00220,ANS-0151,DOC-0019,Chunk_2005,11,Sec. 8.2,"x:340-586,y:471-611",synthetic
CIT-00221,ANS-0152,DOC-0012,Chunk_5749,10,Sec. 8.1,"x:104-405,y:416-516",synthetic
CIT-00222,ANS-0152,DOC-0021,Chunk_3648,7,Sec. 8.6,"x:241-666,y:401-627",synthetic
CIT-00223,ANS-0153,DOC-0009,Chunk_7192,37,Sec. 8.5,"x:175-684,y:499-524",synthetic
CIT-00224,ANS-0154,DOC-0020,Chunk_7485,39,Sec. 3.8,"x:275-424,y:304-526",synthetic
CIT-00225,ANS-0154,DOC-0021,Chunk_7631,21,Sec. 5.4,"x:199-684,y:160-676",synthetic
CIT-00226,ANS-0155,DOC-0016,Chunk_6669,1,Sec. 2.2,"x:322-423,y:344-521",synthetic
CIT-00227,ANS-0156,DOC-0034,Chunk_4140,3,Sec. 4.6,"x:304-590,y:332-626",synthetic
CIT-00228,ANS-0156,DOC-0034,Chunk_2067,13,Sec. 5.7,"x:268-536,y:328-638",synthetic
CIT-00229,ANS-0157,DOC-0007,Chunk_7230,2,Sec. 1.2,"x:256-471,y:274-526",synthetic
CIT-00230,ANS-0158,DOC-0023,Chunk_8073,7,Sec. 2.5,"x:376-647,y:453-581",synthetic
CIT-00231,ANS-0159,DOC-0008,Chunk_3051,2,Sec. 2.7,"x:370-653,y:351-671",synthetic
CIT-00232,ANS-0160,DOC-0035,Chunk_5109,3,Sec. 1.8,"x:250-431,y:303-507",synthetic
CIT-00233,ANS-0161,DOC-0011,Chunk_8157,3,Sec. 3.4,"x:239-400,y:355-599",synthetic
CIT-00234,ANS-0162,DOC-0040,Chunk_4938,4,Sec. 8.7,"x:174-538,y:442-559",synthetic
CIT-00235,ANS-0162,DOC-0031,Chunk_2420,27,Sec. 2.1,"x:107-695,y:449-690",synthetic
CIT-00236,ANS-0163,DOC-0024,Chunk_4907,9,Sec. 1.5,"x:63-482,y:216-634",synthetic
CIT-00237,ANS-0164,DOC-0009,Chunk_4354,21,Sec. 5.2,"x:385-675,y:196-523",synthetic
CIT-00238,ANS-0164,DOC-0040,Chunk_6291,2,Sec. 1.6,"x:101-420,y:108-641",synthetic
CIT-00239,ANS-0165,DOC-0011,Chunk_6395,5,Sec. 5.4,"x:286-587,y:370-542",synthetic
CIT-00240,ANS-0166,DOC-0018,Chunk_0574,19,Sec. 6.7,"x:278-698,y:322-589",synthetic
