request_id,department,seniority_level,employee_tenure_months,months_since_last_upgrade,travel_days_per_month,prior_replacements,requires_windows,is_urgent,laptop_brand,laptop_model,cpu,gpu,ram_gb,storage_gb,compute_tier,build_quality,portability,warranty_years,it_tickets_last_year,quantity,requested_unit_price,historical_avg_price,total_amount,vendor_risk_score,vendor_is_official,dept_budget_remaining,dept_policy_cap,target_uc1_is_match,target_uc2_months_to_failure,target_uc3_tco_idr,target_uc3_opex_idr,target_uc4_is_approved
REQ-2026-00012,Medical Staff,Staff,85,1,1.46,0,0,1,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,2,0,18,48954244,42447626,881176392,0.449,1,523929293,16500000,0,59.3,50824110.0,1869866.0,0
REQ-2026-00013,HR,Senior,63,33,0.48,0,1,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,32,1024,3,0.9,0.95,1,0,1,34798436,32481948,34798436,0.225,0,14835496,15000000,1,66.4,36077636.0,1279200.0,0
REQ-2026-00014,IT,Manager,42,30,1.16,0,1,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,2048,2,0.8,0.95,2,1,5,28995939,29845599,144979695,0.64,0,378443938,43200000,1,53.5,32171526.0,3175587.0,1
REQ-2026-00015,Finance,Senior,8,29,0.03,0,1,0,Apple,MacBook Air 13,M3,Apple GPU,16,768,2,0.95,1.0,2,0,17,22372169,23445914,380326873,0.727,0,391404878,20000000,0,37.5,26763236.0,4391067.0,1
REQ-2026-00016,IT,Director,44,20,0.28,0,1,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,1,0,10,7426812,8006619,74268120,0.237,1,1789277891,60800000,0,39.2,8826021.0,1399209.0,1
REQ-2026-00017,IT,Senior,12,17,0.37,0,0,0,Apple,MacBook Pro 14,M3 Pro,Apple GPU,18,512,4,0.95,0.85,1,1,14,29012890,29200066,406180460,0.507,1,981643079,32000000,1,32.3,35938465.0,6925575.0,1
REQ-2026-00018,IT,Staff,70,44,0.35,0,1,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,1,1,10,42831494,42475947,428314940,0.352,1,501585332,24000000,1,56.1,45352318.0,2520824.0,1
REQ-2026-00019,Finance,Director,8,58,0.49,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,2,0,17,24823341,23503451,421996797,0.462,1,2315868419,38000000,1,49.9,26107005.0,1283664.0,1
REQ-2026-00020,Medical Staff,Director,32,9,1.44,2,0,0,Dell,Latitude 7450,Core i7,Integrated,16,1024,2,0.85,0.85,2,1,24,24646082,24456052,591505968,0.674,0,4415213369,41800000,1,60.8,27721628.0,3075546.0,1
REQ-2026-00021,Sales,Staff,18,53,1.54,1,0,0,Asus,Vivobook 14,Core i5,Integrated,8,1024,1,0.5,0.7,2,2,7,13013521,13492811,91094647,0.372,0,247372936,13500000,1,40.3,17115753.0,4102232.0,1
REQ-2026-00022,Design,Staff,71,10,0.89,0,0,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,16,1024,3,0.9,0.95,2,0,22,29267602,27454266,643887244,0.069,0,2408525707,22500000,1,56.7,31105870.0,1838268.0,1
REQ-2026-00023,Design,Senior,31,43,0.31,0,0,0,HP,ZBook Firefly,Core i7,RTX A500,48,1024,3,0.8,0.6,3,0,7,41083524,36553108,287584668,0.095,1,277747503,30000000,1,37.2,42578347.0,1494823.0,1
REQ-2026-00024,Finance,Senior,29,28,0.47,0,1,0,HP,ZBook Firefly,Core i7,RTX A500,40,1024,3,0.8,0.6,1,1,14,28525011,30706512,399350154,0.475,1,627578444,20000000,1,50.2,30943291.0,2418280.0,1
REQ-2026-00025,Sales,Staff,31,47,5.38,1,0,0,Asus,ROG Zephyrus,Core i9,RTX 4070,32,1536,4,0.55,0.3,3,0,13,40012154,37043211,520158002,0.35,1,284205586,13500000,1,36.1,41493462.0,1481308.0,0
REQ-2026-00026,HR,Staff,7,25,0.31,0,1,0,HP,OmniBook 5,Ryzen 7,Radeon,16,512,2,0.65,0.8,1,1,13,19881639,17067242,258461307,0.72,0,199477276,11250000,1,38.8,22579021.0,2697382.0,0
REQ-2026-00027,HR,Senior,30,35,0.87,1,0,0,Asus,Vivobook 14,Core i5,Integrated,8,512,1,0.5,0.7,1,3,9,11079963,10421176,99719667,0.516,0,414278243,15000000,1,43.3,16899787.0,5819824.0,1
REQ-2026-00028,HR,Manager,82,35,0.42,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,1,0,2,23432149,20903694,46864298,0.25,0,141077734,20250000,1,44.5,24867245.0,1435096.0,1
REQ-2026-00029,HR,Director,24,28,0.27,0,1,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,2,1,14,38713943,42264719,541995202,0.078,1,859283560,28500000,1,50.7,42761914.0,4047971.0,1
REQ-2026-00030,Finance,Senior,43,49,0.89,0,1,0,Apple,MacBook Pro 14,M3 Pro,Apple GPU,18,512,4,0.95,0.85,3,0,6,38791867,33606053,232751202,0.203,1,196802410,20000000,1,50.0,43323408.0,4531541.0,1
REQ-2026-00031,Design,Senior,106,42,0.07,0,0,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,2,1,15,24729169,21628861,370937535,0.215,0,491893754,30000000,1,60.6,28005822.0,3276653.0,1
REQ-2026-00032,Sales,Staff,24,47,3.98,0,1,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,16,1024,3,0.9,0.95,1,2,13,26888802,26623889,349554426,0.154,1,323802486,13500000,1,50.4,32048226.0,5159424.0,0
REQ-2026-00033,Design,Staff,23,45,0.62,1,0,1,Apple,MacBook Air 13,M3,Apple GPU,8,256,2,0.95,1.0,1,1,2,17796981,17238511,35593962,0.331,1,28057950,22500000,0,64.5,23585290.0,5788309.0,1
REQ-2026-00034,HR,Senior,4,41,0.45,1,0,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,24,256,1,0.45,0.65,1,2,7,9522617,11533955,66658319,0.392,1,440403232,15000000,1,37.0,13764672.0,4242055.0,1
REQ-2026-00035,Sales,Staff,29,56,4.43,0,1,0,Lenovo,ThinkPad T14,Core i5,Integrated,32,512,2,0.92,0.75,2,3,23,20904991,22684464,480814793,0.312,1,270409873,13500000,1,64.1,26550435.0,5645444.0,1
REQ-2026-00036,Design,Staff,24,39,1.34,0,0,0,Apple,MacBook Pro 14,M3 Pro,Apple GPU,26,1024,4,0.95,0.85,2,0,6,36093156,37233749,216558936,0.343,1,146715004,22500000,1,41.6,40714861.0,4621705.0,1
REQ-2026-00037,Finance,Senior,30,41,1.08,0,1,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,16,1024,3,0.9,0.95,1,1,18,29066142,26746512,523190556,0.176,0,497141960,20000000,1,61.8,32095243.0,3029101.0,1
REQ-2026-00038,HR,Director,92,33,0.07,0,0,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1536,2,0.8,0.95,2,1,5,30772322,26069148,153861610,0.218,0,399704002,28500000,1,62.6,35407132.0,4634810.0,1
REQ-2026-00039,Design,Senior,81,34,0.85,0,0,0,HP,ZBook Firefly,Core i7,RTX A500,40,2048,3,0.8,0.6,2,1,25,40664064,35592797,1016601600,0.118,0,1603965577,30000000,1,42.4,44123439.0,3459375.0,1
REQ-2026-00040,HR,Manager,42,26,0.15,1,0,0,Dell,Latitude 7450,Core i7,Integrated,32,1536,2,0.85,0.85,2,2,24,30035668,30984683,720856032,0.303,1,689060131,20250000,1,68.7,34975769.0,4940101.0,1
REQ-2026-00041,Design,Senior,64,38,0.23,0,0,0,Asus,Vivobook 14,Core i5,Integrated,8,512,1,0.5,0.7,1,1,3,11234282,10357200,33702846,0.104,0,258186180,30000000,0,39.6,14350179.0,3115897.0,1
REQ-2026-00042,IT,Senior,43,32,1.38,1,1,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,1,2,2,7568278,7418707,15136556,0.161,1,149015299,32000000,0,35.4,12813126.0,5244848.0,1
REQ-2026-00043,HR,Senior,6,25,0.19,2,0,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1024,2,0.8,0.95,3,0,19,23850728,26648175,453163832,0.059,0,383537495,15000000,1,60.0,25137555.0,1286827.0,1
REQ-2026-00044,Medical Staff,Senior,39,47,0.74,0,0,0,Dell,Precision 5690,Core i9,RTX 3500,40,2048,4,0.85,0.35,3,2,11,52127797,45266681,573405767,0.594,1,531145560,22000000,1,30.5,57074095.0,4946298.0,1
REQ-2026-00045,HR,Staff,68,52,0.22,0,1,0,HP,ZBook Firefly,Core i7,RTX A500,32,1024,3,0.8,0.6,1,0,3,35307779,28740251,105923337,0.61,1,45146737,11250000,0,50.4,36845664.0,1537885.0,0
REQ-2026-00046,Design,Staff,29,43,0.44,2,0,1,Lenovo,ThinkPad T14,Core i5,Integrated,24,1536,2,0.92,0.75,2,1,24,23504867,25071382,564116808,0.155,0,1073484396,22500000,1,55.4,26260251.0,2755384.0,1
REQ-2026-00047,Sales,Staff,31,57,6.51,1,0,0,Lenovo,ThinkPad P16,Core i9,RTX A2000,32,1024,4,0.9,0.25,1,1,17,33192095,35629988,564265615,0.453,0,677962696,13500000,0,32.8,35921369.0,2729274.0,0
REQ-2026-00048,Sales,Staff,33,13,2.3,0,0,0,HP,OmniBook 5,Ryzen 7,Radeon,16,1024,2,0.65,0.8,1,2,5,20158342,19139311,100791710,0.534,1,147650071,13500000,1,41.4,22977549.0,2819207.0,1
REQ-2026-00049,HR,Senior,54,24,0.86,0,0,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,1,1,12,40971394,38398614,491656728,0.465,1,316251595,15000000,1,43.0,44354539.0,3383145.0,0
REQ-2026-00050,Finance,Senior,58,45,0.44,0,1,0,Apple,MacBook Air 13,M3,Apple GPU,16,256,2,0.95,1.0,2,1,1,22877759,21293292,22877759,0.38,0,118258761,20000000,1,68.7,28830438.0,5952679.0,1
REQ-2026-00051,IT,Senior,34,35,0.17,0,0,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,16,256,1,0.45,0.65,2,3,5,10473294,10943404,52366470,0.256,0,505122376,32000000,0,43.2,16265235.0,5791941.0,1
REQ-2026-00052,Design,Manager,34,20,0.4,1,0,0,Asus,Vivobook 14,Core i5,Integrated,16,512,1,0.5,0.7,3,1,25,15318031,14571691,382950775,0.492,1,4028889265,40500000,0,56.9,18774533.0,3456502.0,1
REQ-2026-00053,Design,Director,39,43,0.27,0,0,0,Dell,Inspiron 15,Core i5,Integrated,16,1024,1,0.5,0.6,3,2,2,16907774,15323885,33815548,0.05,1,81432339,57000000,0,58.3,23997574.0,7089800.0,1
REQ-2026-00054,Finance,Senior,81,41,0.31,1,1,1,HP,ProBook 445,Ryzen 5,Radeon,24,1024,1,0.6,0.7,2,1,17,22414170,18295766,381040890,0.479,0,372756867,20000000,1,39.9,25385013.0,2970843.0,1
REQ-2026-00055,Sales,Staff,52,41,1.05,0,0,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,3,0,8,37703849,42257654,301630792,0.29,0,219607541,13500000,0,72.4,39109700.0,1405851.0,0
REQ-2026-00056,Medical Staff,Senior,43,10,2.62,1,1,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1024,2,0.8,0.95,1,1,11,28780884,23207857,316589724,0.234,0,143321115,22000000,1,43.2,32020984.0,3240100.0,0
REQ-2026-00057,Medical Staff,Manager,24,31,0.3,2,1,0,Lenovo,ThinkPad T14,Core i5,Integrated,24,1024,2,0.92,0.75,2,0,25,26204077,23057510,655101925,0.101,0,550829257,29700000,0,50.1,27917385.0,1713308.0,1
REQ-2026-00058,IT,Senior,29,31,0.14,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,1024,2,0.85,0.85,1,1,22,25399970,23337299,558799340,0.064,1,397427134,32000000,1,53.3,28687455.0,3287485.0,0
REQ-2026-00059,Finance,Senior,38,15,1.38,0,1,0,Dell,Inspiron 15,Core i5,Integrated,16,1024,1,0.5,0.6,2,3,25,15996437,14902929,399910925,0.436,1,576966159,20000000,1,37.5,22343190.0,6346753.0,1
REQ-2026-00060,IT,Staff,76,32,1.67,0,0,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,2,1,8,9960629,8936752,79685032,0.445,0,276001138,24000000,0,49.4,12069958.0,2109329.0,1
REQ-2026-00061,Finance,Staff,24,44,0.49,0,1,0,Dell,Inspiron 15,Core i5,Integrated,8,512,1,0.5,0.6,1,2,16,9448865,9585313,151181840,0.25,1,681336774,15000000,1,44.1,12633294.0,3184429.0,1
REQ-2026-00062,Medical Staff,Staff,53,20,2.45,1,1,0,Dell,Inspiron 15,Core i5,Integrated,24,512,1,0.5,0.6,2,2,17,12499137,14227615,212485329,0.373,0,403221846,16500000,0,38.8,16035036.0,3535899.0,1
REQ-2026-00063,Sales,Manager,49,26,3.08,1,1,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,24,1024,3,0.9,0.95,1,1,14,31689115,29011023,443647610,0.178,1,1282424860,24300000,1,41.1,34490872.0,2801757.0,1
REQ-2026-00064,Design,Staff,36,32,0.62,0,0,0,Apple,MacBook Pro 14,M3 Pro,Apple GPU,18,512,4,0.95,0.85,3,0,24,34101388,33225535,818433312,0.012,1,1385781768,22500000,1,60.8,38603972.0,4502584.0,1
REQ-2026-00065,Finance,Director,114,41,0.59,0,1,1,Lenovo,ThinkPad T14,Core i5,Integrated,24,512,2,0.92,0.75,2,0,24,22420343,19869135,538088232,0.115,1,751696764,38000000,1,59.2,23934379.0,1514036.0,1
REQ-2026-00066,Finance,Staff,51,43,0.13,0,1,0,Lenovo,ThinkPad P16,Core i9,RTX A2000,32,1024,4,0.9,0.25,1,0,3,40906029,35655765,122718087,0.762,1,182364147,15000000,1,30.0,43339403.0,2433374.0,0
REQ-2026-00067,Design,Staff,11,23,0.19,2,0,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,1,0,24,45826485,41859330,1099835640,0.294,1,1041549028,22500000,1,46.8,47653464.0,1826979.0,0
REQ-2026-00068,Sales,Manager,22,25,1.82,1,1,0,HP,ProBook 445,Ryzen 5,Radeon,8,512,1,0.6,0.7,1,1,4,10076961,11649346,40307844,0.324,0,120750294,24300000,1,36.0,13549080.0,3472119.0,1
REQ-2026-00069,Medical Staff,Staff,15,50,0.45,1,1,0,Asus,Vivobook 14,Core i5,Integrated,8,512,1,0.5,0.7,2,2,5,11279026,11066122,56395130,0.268,0,100566855,16500000,1,38.6,14963920.0,3684894.0,1
REQ-2026-00070,Design,Staff,77,34,0.58,0,0,0,Dell,Inspiron 15,Core i5,Integrated,16,1024,1,0.5,0.6,3,4,23,18432455,15415476,423946465,0.154,0,841712659,22500000,0,50.4,25028566.0,6596111.0,1
REQ-2026-00071,IT,Manager,42,32,0.89,0,0,1,Asus,Vivobook 14,Core i5,Integrated,16,1024,1,0.5,0.7,1,1,13,14607192,13864452,189893496,0.415,1,1439164320,43200000,1,29.9,18989320.0,4382128.0,1
REQ-2026-00072,IT,Staff,1,28,0.44,2,1,1,Dell,Inspiron 15,Core i5,Integrated,8,512,1,0.5,0.6,2,3,7,10119888,9988728,70839216,0.574,0,475580809,24000000,0,26.4,17072329.0,6952441.0,1
REQ-2026-00073,Sales,Staff,41,41,2.18,1,0,0,Asus,ROG Zephyrus,Core i9,RTX 4070,32,1536,4,0.55,0.3,1,0,5,42686288,37355280,213431440,0.573,0,188575414,13500000,1,30.8,45089271.0,2402983.0,0
REQ-2026-00074,Medical Staff,Senior,17,31,0.73,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,1536,2,0.85,0.85,1,1,5,27091540,26395743,135457700,0.337,1,473891245,22000000,1,41.4,29849122.0,2757582.0,1
REQ-2026-00075,Medical Staff,Director,58,42,1.06,0,0,0,Dell,Latitude 7450,Core i7,Integrated,32,512,2,0.85,0.85,3,0,7,28727426,26675328,201091982,0.241,1,149403688,41800000,1,41.4,30323509.0,1596083.0,1
REQ-2026-00076,Medical Staff,Director,20,11,0.11,1,0,0,Dell,Latitude 7450,Core i7,Integrated,24,512,2,0.85,0.85,1,0,6,27239465,22557611,163436790,0.26,1,768980973,41800000,1,46.9,28709444.0,1469979.0,1
REQ-2026-00077,Sales,Manager,23,39,12.75,1,1,1,HP,ProBook 445,Ryzen 5,Radeon,8,1024,1,0.6,0.7,2,2,20,13916493,16286858,278329860,0.279,1,988910568,24300000,1,24.9,20885783.0,6969290.0,1
REQ-2026-00078,Sales,Manager,78,49,10.07,2,1,1,HP,ZBook Firefly,Core i7,RTX A500,32,1024,3,0.8,0.6,2,1,13,33178540,29858312,431321020,0.232,1,698406067,24300000,1,25.2,38328887.0,5150347.0,1
REQ-2026-00079,Sales,Staff,115,24,3.38,1,1,0,Dell,Precision 5690,Core i9,RTX 3500,32,2560,4,0.85,0.35,3,3,9,45661604,44408359,410954436,0.175,0,147230930,13500000,1,61.3,51736882.0,6075278.0,0
REQ-2026-00080,Design,Staff,62,20,2.82,0,0,0,Lenovo,ThinkPad T14,Core i5,Integrated,24,512,2,0.92,0.75,1,0,4,20305298,19382793,81221192,0.159,1,215035273,22500000,1,37.0,21949631.0,1644333.0,1
REQ-2026-00081,Design,Manager,26,21,0.04,1,0,0,Dell,Latitude 7450,Core i7,Integrated,32,512,2,0.85,0.85,2,0,8,26557208,26317816,212457664,0.275,0,967672422,40500000,0,52.7,27908115.0,1350907.0,1
REQ-2026-00082,IT,Staff,120,3,0.15,1,0,0,HP,OmniBook 5,Ryzen 7,Radeon,24,512,2,0.65,0.8,2,0,23,18997067,19712683,436932541,0.534,1,790823695,24000000,0,57.9,20228212.0,1231145.0,1
REQ-2026-00083,IT,Staff,23,32,1.56,0,1,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,2,4,20,8998494,8910618,179969880,0.187,1,550240543,24000000,0,39.3,16073258.0,7074764.0,1
REQ-2026-00084,HR,Senior,129,28,0.74,0,1,0,HP,ZBook Firefly,Core i7,RTX A500,32,1024,3,0.8,0.6,1,2,8,31620499,29575944,252963992,0.366,1,113141199,15000000,1,45.5,38161736.0,6541237.0,0
REQ-2026-00085,IT,Manager,78,33,0.52,1,0,0,HP,OmniBook 5,Ryzen 7,Radeon,16,1024,2,0.65,0.8,2,3,7,20010861,20801732,140076027,0.14,1,635336475,43200000,1,44.0,26577021.0,6566160.0,1
REQ-2026-00086,Finance,Director,28,37,0.39,1,1,0,Asus,ROG Zephyrus,Core i9,RTX 4070,32,1024,4,0.55,0.3,1,1,6,31374890,34289638,188249340,0.275,0,236721125,38000000,1,43.1,35389288.0,4014398.0,1
REQ-2026-00087,HR,Senior,80,30,0.48,0,1,1,Asus,Vivobook 14,Core i5,Integrated,16,512,1,0.5,0.7,1,1,3,12834292,12073294,38502876,0.274,1,100912250,15000000,0,39.7,15886433.0,3052141.0,1
REQ-2026-00088,Sales,Staff,23,58,10.72,0,1,0,Lenovo,ThinkPad P16,Core i9,RTX A2000,40,1536,4,0.9,0.25,1,2,4,40324931,42041636,161299724,0.36,1,84799541,13500000,1,36.0,45206052.0,4881121.0,0
REQ-2026-00089,Design,Staff,28,29,0.88,0,1,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1536,2,0.8,0.95,2,1,9,22613926,26639543,203525334,0.22,1,276851590,22500000,1,47.8,25493993.0,2880067.0,1
REQ-2026-00090,IT,Staff,47,52,0.23,0,0,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,1,1,5,8076715,7893775,40383575,0.675,1,39959650,24000000,0,26.8,13090686.0,5013971.0,1
REQ-2026-00091,HR,Staff,51,1,0.16,0,1,0,Dell,Precision 5690,Core i9,RTX 3500,32,2048,4,0.85,0.35,3,0,2,40581552,41873935,81163104,0.435,1,24534340,11250000,0,54.3,42188262.0,1606710.0,0
REQ-2026-00092,HR,Staff,60,69,0.77,2,1,0,HP,ProBook 445,Ryzen 5,Radeon,8,512,1,0.6,0.7,1,0,1,11852704,11055803,11852704,0.365,1,32704168,11250000,1,33.2,13697129.0,1844425.0,1
REQ-2026-00093,Medical Staff,Staff,37,44,0.93,0,1,0,HP,ZBook Firefly,Core i7,RTX A500,32,1024,3,0.8,0.6,2,2,19,29737317,30512337,565009023,0.686,0,796951978,16500000,1,55.9,34495106.0,4757789.0,0
REQ-2026-00094,Sales,Staff,48,29,1.44,1,1,0,Dell,Inspiron 15,Core i5,Integrated,8,512,1,0.5,0.6,1,2,21,9385097,9200508,197087037,0.585,1,319358179,13500000,1,29.1,15138087.0,5752990.0,1
REQ-2026-00095,HR,Staff,25,45,0.17,0,1,0,HP,OmniBook 5,Ryzen 7,Radeon,16,512,2,0.65,0.8,1,0,8,20661293,16224513,165290344,0.521,1,89485703,11250000,1,42.5,22076166.0,1414873.0,0
REQ-2026-00096,Sales,Senior,20,34,0.8,1,0,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1024,2,0.8,0.95,3,0,18,30974499,26291628,557540982,0.848,0,1156657619,18000000,1,57.5,32480815.0,1506316.0,0
REQ-2026-00097,HR,Staff,43,33,0.4,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,2,2,12,23526602,22108364,282319224,0.515,1,162336594,11250000,1,45.3,26166141.0,2639539.0,0
REQ-2026-00098,HR,Staff,46,12,0.15,0,1,0,HP,OmniBook 5,Ryzen 7,Radeon,24,512,2,0.65,0.8,1,3,6,20598297,19617245,123589782,0.545,1,107683934,11250000,1,51.7,26566811.0,5968514.0,0
REQ-2026-00099,Design,Senior,46,17,0.2,0,0,1,HP,ProBook 445,Ryzen 5,Radeon,8,1536,1,0.6,0.7,1,0,9,14697621,15659329,132278589,0.546,0,333357881,30000000,0,41.5,16492455.0,1794834.0,1
REQ-2026-00100,Medical Staff,Staff,29,34,1.02,0,1,1,HP,OmniBook 5,Ryzen 7,Radeon,16,512,2,0.65,0.8,2,0,19,19592658,18843143,372260502,0.623,1,354370065,16500000,1,56.3,21079822.0,1487164.0,1
REQ-2026-00101,Design,Staff,51,48,0.81,0,0,1,HP,OmniBook 5,Ryzen 7,Radeon,16,512,2,0.65,0.8,3,1,4,22440007,19973168,89760028,0.478,0,246509442,22500000,1,47.2,25641981.0,3201974.0,1
REQ-2026-00102,Finance,Staff,43,42,0.26,0,1,0,Asus,ExpertBook B9,Core i7,Iris Xe,16,1024,2,0.8,0.95,3,1,8,33040349,27501189,264322792,0.429,1,111022860,15000000,1,41.9,35685308.0,2644959.0,0
REQ-2026-00103,Medical Staff,Senior,55,37,0.66,0,1,1,HP,OmniBook 5,Ryzen 7,Radeon,16,512,2,0.65,0.8,2,1,22,16652541,19205203,366355902,0.378,0,709044376,22000000,1,42.8,19265969.0,2613428.0,1
REQ-2026-00104,Sales,Director,52,20,2.45,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,1,0,23,25755374,20408385,592373602,0.226,0,293244419,34200000,1,29.4,28770304.0,3014930.0,0
REQ-2026-00105,HR,Senior,53,4,1.04,0,1,0,Lenovo,ThinkPad T14,Core i5,Integrated,16,1536,2,0.92,0.75,3,0,15,23168636,23765184,347529540,0.104,1,781315873,15000000,1,56.6,24677238.0,1508602.0,1
REQ-2026-00106,IT,Staff,89,33,2.22,0,1,1,HP,ProBook 445,Ryzen 5,Radeon,8,1024,1,0.6,0.7,2,0,22,14623912,15198097,321726064,0.308,1,526606628,24000000,0,48.2,15940425.0,1316513.0,1
REQ-2026-00107,Sales,Staff,157,19,1.73,0,1,0,Asus,ROG Zephyrus,Core i9,RTX 4070,32,1024,4,0.55,0.3,1,0,23,39088472,33684604,899034856,0.384,0,478150072,13500000,0,35.1,40892044.0,1803572.0,0
REQ-2026-00108,Medical Staff,Staff,103,53,1.22,1,1,0,Lenovo,ThinkPad X1,Core i7,Iris Xe,16,1024,3,0.9,0.95,2,0,8,28442516,28251382,227540128,0.374,1,313374404,16500000,0,26.7,30749917.0,2307401.0,1
REQ-2026-00109,Finance,Manager,64,24,0.84,1,1,0,Lenovo,IdeaPad Slim 3,Core i3,Integrated,16,768,1,0.45,0.65,1,2,24,13757455,11703412,330178920,0.097,1,375417525,27000000,1,34.3,21319807.0,7562352.0,1
